,Company Name,Industry,Symbol,Series,ISIN Code,company_brief
0,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,"360 ONE WAM Ltd. is a leading Indian wealth and asset manager for HNWIs. Its strong profit growth and focus on recurring revenue are positives. However, market volatility, high operating costs, competitive pressure, and low promoter holding are risks."
1,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,"3M India, a diversified science and technology leader in Safety & Industrial, Healthcare, Consumer, and Transportation & Electronics, maintains market significance via innovation. Invest for strong management and growth; however, high valuation and recent profit declines coupled with cost pressures are concerns."
2,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,"ABB India provides electrification, automation, and robotics solutions crucial for industrial growth and energy transition in India. Invest for strong financials and market leadership, but consider its high valuation and moderating growth."
3,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,"ACC is a major Indian cement and ready-mix concrete producer. Invest for strong financials, low debt, and market position. Avoid due to past poor sales growth, underperforming benchmarks, and current overvaluation concerns."
4,ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,"ACME Solar is a top Indian renewable IPP, developing solar, wind, and hybrid projects. Invest for green energy sector growth and stable government contracts. Risks include high debt and PPA dependence."
5,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,"AIA Engineering, a global leader in high-chrome wear-resistant grinding parts for mining, cement, and power, offers investment potential due to its market dominance and capacity expansion. However, risks include raw material price volatility, cyclical client industries, and working capital intensity."
6,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,"APL Apollo Tubes, India's largest structural steel tube producer with 50%+ market share, supplies diverse products for infrastructure. Investment appeal lies in market leadership, innovation (DFT), and robust financials. Risks include intense competition and raw material price volatility."
7,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,"AU Small Finance Bank provides retail and commercial banking to underserved segments, holding significance as a leading SFB poised for universal bank transition. Invest for its strong growth and fundamentals, but be aware of high valuations, rising NPAs, and asset quality concerns."
8,AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,"AWL Agri Business, formerly Adani Wilmar, is an Indian FMCG leader in edible oils (Fortune) and packaged foods, holding significant market share. While strong distribution and brand recall are positives, Adani Group's recent exit and declining profitability/thin margins in edible oils present investment concerns."
9,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,"Aadhar Housing Finance targets low-to-middle income segments, showing robust AUM growth and profitability, supported by strong risk management and market position. Risks include borrower vulnerability, pledged promoter holdings, and potential asset quality concerns."
10,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,"Aarti Industries (AARTIIND) manufactures specialty chemicals globally for diverse sectors. Investment drivers include capex, ""China+1"" strategy, and long-term contracts; however, risks comprise inconsistent profit growth and high valuation."
11,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,"Aavas Financiers provides affordable housing loans to underserved semi-urban/rural self-employed, crucial for financial inclusion. Invest for growth in this segment and tech-driven efficiency. However, high valuation, promoter share pledges, and asset quality are key investment concerns."
